Neuron1,Neuron2,Type1,Type2,IndexSending,IndexReceiving
RMGR,ASJR,flp-21,npr-5,180,138
RMGL,ASKL,flp-21,npr-5,179,70
RMGL,ASKR,flp-21,npr-5,179,71
RMGR,ASKL,flp-21,npr-5,180,70
RMGR,ASKR,flp-21,npr-5,180,71
RMGL,AUAL,flp-21,npr-5,179,114
RMGL,AUAR,flp-21,npr-5,179,139
RMGR,AUAL,flp-21,npr-5,180,114
RMGR,AUAR,flp-21,npr-5,180,139
RMGL,AWAL,flp-21,npr-5,179,93
RMGL,AWAR,flp-21,npr-5,179,94
RMGR,AWAL,flp-21,npr-5,180,93
RMGR,AWAR,flp-21,npr-5,180,94
RMGL,AWBL,flp-21,npr-5,179,95
RMGL,AWBR,flp-21,npr-5,179,96
RMGR,AWBL,flp-21,npr-5,180,95
RMGR,AWBR,flp-21,npr-5,180,96
RMGL,IL2DL,flp-21,npr-5,179,21
RMGL,IL2DR,flp-21,npr-5,179,25
RMGL,IL2L,flp-21,npr-5,179,26
RMGL,IL2R,flp-21,npr-5,179,33
RMGL,IL2VL,flp-21,npr-5,179,27
RMGL,IL2VR,flp-21,npr-5,179,34
RMGR,IL2DL,flp-21,npr-5,180,21
RMGR,IL2DR,flp-21,npr-5,180,25
RMGR,IL2L,flp-21,npr-5,180,26
RMGR,IL2R,flp-21,npr-5,180,33
RMGR,IL2VL,flp-21,npr-5,180,27
RMGR,IL2VR,flp-21,npr-5,180,34
RMGL,PHAL,flp-21,npr-5,179,279
RMGL,PHAR,flp-21,npr-5,179,285
RMGR,PHAL,flp-21,npr-5,180,279
RMGR,PHAR,flp-21,npr-5,180,285
RMGL,PHBL,flp-21,npr-5,179,286
RMGL,PHBR,flp-21,npr-5,179,287
RMGR,PHBL,flp-21,npr-5,180,286
RMGR,PHBR,flp-21,npr-5,180,287
URADL,AQR,flp-21,npr-1,29,172
URADR,AQR,flp-21,npr-1,38,172
URAVL,AQR,flp-21,npr-1,48,172
URAVR,AQR,flp-21,npr-1,57,172
URADL,ASEL,flp-21,npr-1,29,111
URADL,ASER,flp-21,npr-1,29,112
URADR,ASEL,flp-21,npr-1,38,111
URADR,ASER,flp-21,npr-1,38,112
URAVL,ASEL,flp-21,npr-1,48,111
URAVL,ASER,flp-21,npr-1,48,112
URAVR,ASEL,flp-21,npr-1,57,111
URAVR,ASER,flp-21,npr-1,57,112
URADL,ASGL,flp-21,npr-1,29,87
URADL,ASGR,flp-21,npr-1,29,88
URADR,ASGL,flp-21,npr-1,38,87
URADR,ASGR,flp-21,npr-1,38,88
URAVL,ASGL,flp-21,npr-1,48,87
URAVL,ASGR,flp-21,npr-1,48,88
URAVR,ASGL,flp-21,npr-1,57,87
URAVR,ASGR,flp-21,npr-1,57,88
URADL,ASHL,flp-21,npr-1,29,89
URADL,ASHR,flp-21,npr-1,29,90
URADR,ASHL,flp-21,npr-1,38,89
URADR,ASHR,flp-21,npr-1,38,90
URAVL,ASHL,flp-21,npr-1,48,89
URAVL,ASHR,flp-21,npr-1,48,90
URAVR,ASHL,flp-21,npr-1,57,89
URAVR,ASHR,flp-21,npr-1,57,90
URADL,AUAL,flp-21,npr-1,29,114
URADL,AUAR,flp-21,npr-1,29,139
URADR,AUAL,flp-21,npr-1,38,114
URADR,AUAR,flp-21,npr-1,38,139
URAVL,AUAL,flp-21,npr-1,48,114
URAVL,AUAR,flp-21,npr-1,48,139
URAVR,AUAL,flp-21,npr-1,57,114
URAVR,AUAR,flp-21,npr-1,57,139
URADL,DD01,flp-21,npr-1,29,185
URADL,DD02,flp-21,npr-1,29,202
URADL,DD03,flp-21,npr-1,29,215
URADL,DD04,flp-21,npr-1,29,236
URADL,DD05,flp-21,npr-1,29,255
URADL,DD06,flp-21,npr-1,29,270
URADR,DD01,flp-21,npr-1,38,185
URADR,DD02,flp-21,npr-1,38,202
URADR,DD03,flp-21,npr-1,38,215
URADR,DD04,flp-21,npr-1,38,236
URADR,DD05,flp-21,npr-1,38,255
URADR,DD06,flp-21,npr-1,38,270
URAVL,DD01,flp-21,npr-1,48,185
URAVL,DD02,flp-21,npr-1,48,202
URAVL,DD03,flp-21,npr-1,48,215
URAVL,DD04,flp-21,npr-1,48,236
URAVL,DD05,flp-21,npr-1,48,255
URAVL,DD06,flp-21,npr-1,48,270
URAVR,DD01,flp-21,npr-1,57,185
URAVR,DD02,flp-21,npr-1,57,202
URAVR,DD03,flp-21,npr-1,57,215
URAVR,DD04,flp-21,npr-1,57,236
URAVR,DD05,flp-21,npr-1,57,255
URAVR,DD06,flp-21,npr-1,57,270
URADL,IL2L,flp-21,npr-1,29,26
URADR,IL2L,flp-21,npr-1,38,26
URAVL,IL2L,flp-21,npr-1,48,26
URAVR,IL2L,flp-21,npr-1,57,26
URADL,IL2R,flp-21,npr-1,29,33
URADR,IL2R,flp-21,npr-1,38,33
URAVL,IL2R,flp-21,npr-1,48,33
URAVR,IL2R,flp-21,npr-1,57,33
URADL,M3L,flp-21,npr-1,29,6
URADL,M3R,flp-21,npr-1,29,7
URADR,M3L,flp-21,npr-1,38,6
URADR,M3R,flp-21,npr-1,38,7
URAVL,M3L,flp-21,npr-1,48,6
URAVL,M3R,flp-21,npr-1,48,7
URAVR,M3L,flp-21,npr-1,57,6
URAVR,M3R,flp-21,npr-1,57,7
URADL,OLQDL,flp-21,npr-1,29,36
