Sending,Receiving,Type,Number,IndexSending,IndexReceiving
DB04,AVBL,EJ,1,209,115
DB05,AVBL,EJ,1,225,115
DB06,AVBL,EJ,2,243,115
DB07,AVBL,EJ,2,258,115
DVA,AVBL,EJ,1,275,115
RIBL,AVBL,EJ,1,121,115
RIBR,AVBL,EJ,1,122,115
RID,AVBL,EJ,1,55,115
SDQR,AVBL,EJ,1,199,115
SIBVL,AVBL,EJ,1,107,115
VB01,AVBL,EJ,1,175,115
VB02,AVBL,EJ,3,160,115
VB04,AVBL,EJ,1,200,115
VB05,AVBL,EJ,1,207,115
VB06,AVBL,EJ,1,216,115
VB07,AVBL,EJ,2,223,115
VB08,AVBL,EJ,7,234,115
VB09,AVBL,EJ,1,239,115
VB10,AVBL,EJ,2,253,115
VB11,AVBL,EJ,2,259,115
AS06,AVBR,EJ,1,224,116
AS07,AVBR,EJ,2,233,116
AVBL,AVBR,EJ,3,115,116
DB01,AVBR,EJ,3,184,116
DB02,AVBR,EJ,1,173,116
DB03,AVBR,EJ,1,194,116
DB04,AVBR,EJ,1,209,116
DB05,AVBR,EJ,1,225,116
DB06,AVBR,EJ,1,243,116
DB07,AVBR,EJ,1,258,116
DD01,AVBR,EJ,1,185,116
DVA,AVBR,EJ,1,275,116
PVNL,AVBR,EJ,2,299,116
RIBL,AVBR,EJ,1,121,116
RIBR,AVBR,EJ,1,122,116
RID,AVBR,EJ,2,55,116
SIBVL,AVBR,EJ,1,107,116
VA08,AVBR,EJ,1,238,116
VA09,AVBR,EJ,1,252,116
VB02,AVBR,EJ,1,160,116
VB03,AVBR,EJ,1,191,116
VB04,AVBR,EJ,1,200,116
VB06,AVBR,EJ,2,216,116
VB07,AVBR,EJ,2,223,116
VB08,AVBR,EJ,3,234,116
VB09,AVBR,EJ,6,239,116
VB10,AVBR,EJ,1,253,116
VB11,AVBR,EJ,1,259,116
VD10,AVBR,EJ,1,256,116
ADAR,AVDL,EJ,2,169,140
AVM,AVDL,EJ,2,213,140
FLPL,AVDL,EJ,1,164,140
FLPR,AVDL,EJ,1,165,140
ADAL,AVDR,EJ,2,168,141
ADLL,AVDR,EJ,1,68,141
AVJL,AVDR,EJ,2,119,141
FLPR,AVDR,EJ,1,165,141
AVER,AVEL,EJ,1,92,74
RIML,AVEL,EJ,2,123,74
RIMR,AVEL,EJ,3,144,74
RMDVR,AVEL,EJ,1,62,74
RMEV,AVEL,EJ,1,63,74
AVEL,AVER,EJ,1,74,92
RIML,AVER,EJ,3,123,92
RIMR,AVER,EJ,2,144,92
RMDVL,AVER,EJ,1,61,92
RMDVR,AVER,EJ,1,62,92
RMEV,AVER,EJ,1,63,92
AVFR,AVFL,EJ,23,162,161
AVHL,AVFL,EJ,2,117,161
AVHR,AVFL,EJ,3,118,161
PVQR,AVFL,EJ,1,280,161
AVFL,AVFR,EJ,23,161,162
AVHL,AVFR,EJ,2,117,162
AVHR,AVFR,EJ,1,118,162
VC04,AVFR,EJ,1,227,162
RIFL,AVG,EJ,1,177,176
RIFR,AVG,EJ,1,174,176
AVFL,AVHL,EJ,2,161,117
AVFR,AVHL,EJ,2,162,117
AVHR,AVHL,EJ,1,118,117
PHBR,AVHL,EJ,1,287,117
AVFL,AVHR,EJ,3,161,118
AVFR,AVHR,EJ,1,162,118
AVHL,AVHR,EJ,1,117,118
AVAL,AVJL,EJ,2,72,119
AVDR,AVJL,EJ,2,141,119
AVJR,AVJL,EJ,4,120,119
PVCL,AVJL,EJ,1,290,119
PVCR,AVJL,EJ,3,291,119
RIS,AVJL,EJ,1,159,119
AVJL,AVJR,EJ,4,119,120
PVCL,AVJR,EJ,1,290,120
ADER,AVKL,EJ,1,171,163
AQR,AVKL,EJ,2,172,163
AVKR,AVKL,EJ,2,158,163
PVPL,AVKL,EJ,1,272,163
PVPR,AVKL,EJ,1,265,163
PVT,AVKL,EJ,2,266,163
RICL,AVKL,EJ,1,143,163
RICR,AVKL,EJ,1,150,163
RIGL,AVKL,EJ,1,181,163
SMBDL,AVKL,EJ,1,132,163
SMBDR,AVKL,EJ,1,153,163
SMBVR,AVKL,EJ,1,147,163
VB01,AVKL,EJ,4,175,163
VB10,AVKL,EJ,1,253,163
ADEL,AVKR,EJ,1,170,158
AQR,AVKR,EJ,1,172,158
AVKL,AVKR,EJ,2,163,158
PVPL,AVKR,EJ,6,272,158
RICL,AVKR,EJ,1,143,158
RIGR,AVKR,EJ,1,178,158
SMBDL,AVKR,EJ,1,132,158
SMBDR,AVKR,EJ,2,153,158
SMBVR,AVKR,EJ,1,147,158
DVB,AVL,EJ,1,276,142
DVC,AVL,EJ,9,277,142
PVM,AVL,EJ,1,251,142
ALML,AVM,EJ,1,217,213
ALMR,AVM,EJ,1,218,213
AVDL,AVM,EJ,2,140,213
AIAL,AWAL,EJ,1,109,93
AWAR,AWAL,EJ,1,94,93
AIAR,AWAR,EJ,1,134,94
AIZR,AWAR,EJ,1,149,94
AWAL,AWAR,EJ,1,93,94
AUAL,AWBL,EJ,1,114,95
AWBR,AWBL,EJ,1,96,95
RMGL,AWBL,EJ,1,179,95
AUAR,AWBR,EJ,1,139,96
AWBL,AWBR,EJ,1,95,96
RICL,AWBR,EJ,1,143,96
RMGR,AWBR,EJ,1,180,96
BAGR,BAGL,EJ,1,51,42
RIGR,BAGL,EJ,1,178,42
RIR,BAGL,EJ,1,124,42
BAGL,BAGR,EJ,1,42,51
RIGL,BAGR,EJ,1,181,51
RIR,BAGR,EJ,1,124,51
OLQDL,CEPDL,EJ,1,36,59
RIH,CEPDL,EJ,1,99,59
OLQDR,CEPDR,EJ,2,43,75
RIH,CEPDR,EJ,1,99,75
OLQVL,CEPVL,EJ,1,44,52
RIH,CEPVL,EJ,1,99,52
OLQVR,CEPVR,EJ,1,54,60
RIH,CEPVR,EJ,1,99,60
AVAL,DA01,EJ,2,72,187
AVAR,DA01,EJ,6,73,187
DA04,DA01,EJ,1,214,187
SABVL,DA01,EJ,2,166,187
SABVR,DA01,EJ,3,167,187
AS02,DA02,EJ,1,192,193
AS03,DA02,EJ,1,203,193
AVAL,DA02,EJ,2,72,193
AVAR,DA02,EJ,2,73,193
SABVL,DA02,EJ,1,166,193
VA01,DA02,EJ,2,183,193
AS04,DA03,EJ,1,210,205
AVAR,DA03,EJ,2,73,205
AVAL,DA04,EJ,3,72,214
AVAR,DA04,EJ,2,73,214
DA01,DA04,EJ,1,187,214
DB03,DA04,EJ,1,194,214
VB06,DA04,EJ,1,216,214
AS06,DA05,EJ,2,224,228
AVAL,DA05,EJ,1,72,228
AVAR,DA05,EJ,5,73,228
VA04,DA05,EJ,1,206,228
VA05,DA05,EJ,2,212,228
AVAL,DA06,EJ,10,72,248
AVAR,DA06,EJ,2,73,248
AVAL,DA07,EJ,2,72,261
AVAR,DA08,EJ,1,73,268
DA09,DA08,EJ,1,269,268
DA08,DA09,EJ,1,268,269
PDA,DA09,EJ,1,278,269
PHCL,DA09,EJ,1,294,269
RID,DA09,EJ,1,55,269
AIBR,DB01,EJ,1,110,184
AVBR,DB01,EJ,3,116,184
DB02,DB01,EJ,1,173,184
DB04,DB01,EJ,1,209,184
DVA,DB01,EJ,1,275,184
RID,DB01,EJ,1,55,184
RIS,DB01,EJ,1,159,184
VB03,DB01,EJ,1,191,184
VB04,DB01,EJ,1,200,184
AVBR,DB02,EJ,1,116,173
DB01,DB02,EJ,1,184,173
DB03,DB02,EJ,6,194,173
VB01,DB02,EJ,2,175,173
AVBL,DB03,EJ,1,115,194
AVBR,DB03,EJ,1,116,194
DA04,DB03,EJ,1,214,194
DB02,DB03,EJ,6,173,194
DB04,DB03,EJ,1,209,194
AVBL,DB04,EJ,1,115,209
AVBR,DB04,EJ,1,116,209
DB01,DB04,EJ,1,184,209
DB03,DB04,EJ,1,194,209
VB02,DB04,EJ,1,160,209
VB04,DB04,EJ,1,200,209
AVAR,DB05,EJ,2,73,225
AVBL,DB05,EJ,1,115,225
AVBR,DB05,EJ,1,116,225
AVAL,DB06,EJ,3,72,243
AVBL,DB06,EJ,2,115,243
AVBR,DB06,EJ,1,116,243
AVBL,DB07,EJ,2,115,258
AVBR,DB07,EJ,1,116,258
AVBR,DD01,EJ,1,116,185
DD02,DD01,EJ,1,202,185
VD01,DD01,EJ,4,188,185
VD02,DD01,EJ,2,189,185
DD01,DD02,EJ,1,185,202
DD03,DD02,EJ,2,215,202
VD04,DD02,EJ,2,204,202
DD02,DD03,EJ,2,202,215
DD04,DD03,EJ,1,236,215
DD03,DD04,EJ,1,215,236
VC03,DD04,EJ,1,219,236
VD08,DD04,EJ,1,237,236
VD10,DD05,EJ,1,256,255
AVBL,DVA,EJ,1,115,275
AVBR,DVA,EJ,1,116,275
DB01,DVA,EJ,1,184,275
PVCL,DVA,EJ,1,290,275
PVR,DVA,EJ,2,293,275
AS09,DVB,EJ,7,254,276
AVL,DVB,EJ,1,142,276
VA09,DVB,EJ,1,252,276
VB09,DVB,EJ,1,239,276
AIBL,DVC,EJ,1,86,277
AIBR,DVC,EJ,2,110,277
AVL,DVC,EJ,9,142,277
PVPL,DVC,EJ,2,272,277
PVPR,DVC,EJ,13,265,277
VA09,DVC,EJ,1,252,277
VD01,DVC,EJ,5,188,277
VD10,DVC,EJ,4,256,277
AVAL,FLPL,EJ,1,72,164
AVDL,FLPL,EJ,1,140,164
FLPR,FLPL,EJ,2,165,164
RIH,FLPL,EJ,1,99,164
AVDL,FLPR,EJ,1,140,165
AVDR,FLPR,EJ,1,141,165
FLPL,FLPR,EJ,2,164,165
HSNR,HSNL,EJ,1,230,229
HSNL,HSNR,EJ,1,229,230
PVNR,HSNR,EJ,1,300,230
IL1DR,IL1DL,EJ,1,31,22
IL1L,IL1DL,EJ,1,23,22
OLLL,IL1DL,EJ,1,28,22
RMEV,IL1DL,EJ,1,63,22
IL1DL,IL1DR,EJ,1,22,31
IL1R,IL1DR,EJ,1,32,31
OLLR,IL1DR,EJ,1,35,31
RMEV,IL1DR,EJ,1,63,31
IL1DL,IL1L,EJ,1,22,23
IL1VL,IL1L,EJ,1,24,23
IL1DR,IL1R,EJ,1,31,32
IL1VR,IL1R,EJ,1,53,32
IL1L,IL1VL,EJ,1,23,24
IL1VR,IL1VL,EJ,1,53,24
RMED,IL1VL,EJ,1,46,24
IL1R,IL1VR,EJ,1,32,53
IL1VL,IL1VR,EJ,1,24,53
IL2R,IL1VR,EJ,1,33,53
RMGL,IL2L,EJ,1,179,26
IL1VR,IL2R,EJ,1,53,33
RMGR,IL2R,EJ,1,180,33
URXR,IL2R,EJ,1,82,33
AVAL,LUAL,EJ,1,72,283
PLML,LUAL,EJ,1,296,283
PVR,LUAL,EJ,1,293,283
PLMR,LUAR,EJ,1,297,284
PVR,LUAR,EJ,1,293,284
IL1DL,OLLL,EJ,1,22,28
OLLR,OLLL,EJ,2,35,28
RIGL,OLLL,EJ,1,181,28
IL1DR,OLLR,EJ,1,31,35
OLLL,OLLR,EJ,2,28,35
RIGR,OLLR,EJ,1,178,35
CEPDL,OLQDL,EJ,1,59,36
RIBL,OLQDL,EJ,2,121,36
RIGL,OLQDL,EJ,1,181,36
RMDVL,OLQDL,EJ,1,61,36
URBL,OLQDL,EJ,1,39,36
CEPDR,OLQDR,EJ,2,75,43
RIBR,OLQDR,EJ,2,122,43
RIGR,OLQDR,EJ,1,178,43
RIH,OLQDR,EJ,1,99,43
RMDVR,OLQDR,EJ,1,62,43
URBR,OLQDR,EJ,1,49,43
ADLL,OLQVL,EJ,1,68,44
CEPVL,OLQVL,EJ,1,52,44
RIBL,OLQVL,EJ,1,121,44
RIGL,OLQVL,EJ,1,181,44
RMDDL,OLQVL,EJ,1,101,44
URBL,OLQVL,EJ,1,39,44
CEPVR,OLQVR,EJ,1,60,54
RIBR,OLQVR,EJ,1,122,54
RIGR,OLQVR,EJ,1,178,54
RMDDR,OLQVR,EJ,1,126,54
URBR,OLQVR,EJ,1,49,54
DA09,PDA,EJ,1,269,278
AS11,PDB,EJ,2,264,271
RID,PDB,EJ,2,55,271
PDER,PDEL,EJ,3,245,244
PVCR,PDEL,EJ,1,291,244
PVM,PDEL,EJ,1,251,244
PDEL,PDER,EJ,3,244,245
PVM,PDER,EJ,1,251,245
VA08,PDER,EJ,1,238,245
VD09,PDER,EJ,1,247,245
PHAR,PHAL,EJ,2,285,279
PHAL,PHAR,EJ,2,279,285
PVPL,PHAR,EJ,3,272,285
PHBR,PHBL,EJ,3,287,286
AVHL,PHBR,EJ,1,117,287
PHBL,PHBR,EJ,3,286,287
DA09,PHCL,EJ,1,269,294
PHCR,PHCL,EJ,1,295,294
PLML,PHCL,EJ,1,296,294
VA12,PHCL,EJ,1,273,294
PHCL,PHCR,EJ,1,294,295
PVCR,PHCR,EJ,1,291,295
VA12,PHCR,EJ,1,273,295
LUAL,PLML,EJ,1,283,296
PHCL,PLML,EJ,1,294,296
PVCL,PLML,EJ,1,290,296
LUAR,PLMR,EJ,1,284,297
PVCR,PLMR,EJ,1,291,297
PVR,PLMR,EJ,2,293,297
PVPL,PQR,EJ,4,272,289
AVAL,PVCL,EJ,2,72,290
AVJL,PVCL,EJ,1,119,290
AVJR,PVCL,EJ,1,120,290
DVA,PVCL,EJ,1,275,290
PLML,PVCL,EJ,1,296,290
PVCR,PVCL,EJ,5,291,290
VB09,PVCL,EJ,2,239,290
VB10,PVCL,EJ,1,253,290
AVAL,PVCR,EJ,5,72,291
AVAR,PVCR,EJ,3,73,291
AVJL,PVCR,EJ,3,119,291
PDEL,PVCR,EJ,1,244,291
PHCR,PVCR,EJ,1,295,291
PLMR,PVCR,EJ,1,297,291
PVCL,PVCR,EJ,5,290,291
PVWL,PVCR,EJ,2,301,291
PVWR,PVCR,EJ,1,302,291
VA08,PVCR,EJ,2,238,291
VA09,PVCR,EJ,1,252,291
AVL,PVM,EJ,1,142,251
PDEL,PVM,EJ,1,244,251
PDER,PVM,EJ,1,245,251
AVBR,PVNL,EJ,2,116,299
PVQR,PVNL,EJ,1,280,299
HSNR,PVNR,EJ,1,230,300
AQR,PVPL,EJ,7,172,272
AVAL,PVPL,EJ,1,72,272
AVKL,PVPL,EJ,1,163,272
AVKR,PVPL,EJ,6,158,272
DVC,PVPL,EJ,2,277,272
PHAR,PVPL,EJ,3,285,272
PQR,PVPL,EJ,4,289,272
PVPR,PVPL,EJ,1,265,272
PVT,PVPL,EJ,1,266,272
VD03,PVPL,EJ,1,198,272
VD13,PVPL,EJ,2,274,272
AQR,PVPR,EJ,9,172,265
AVKL,PVPR,EJ,1,163,265
DVC,PVPR,EJ,13,277,265
PVPL,PVPR,EJ,1,272,265
VD04,PVPR,EJ,1,204,265
VD05,PVPR,EJ,1,211,265
ADAL,PVQL,EJ,1,168,292
ASKL,PVQL,EJ,5,70,292
PVQR,PVQL,EJ,2,280,292
ADAR,PVQR,EJ,1,169,280
ASKR,PVQR,EJ,4,71,280
AVFL,PVQR,EJ,1,161,280
PVNL,PVQR,EJ,1,299,280
PVQL,PVQR,EJ,2,292,280
ALML,PVR,EJ,1,217,293
DVA,PVR,EJ,2,275,293
LUAL,PVR,EJ,1,283,293
LUAR,PVR,EJ,1,284,293
PLMR,PVR,EJ,2,297,293
AIBL,PVT,EJ,1,86,266
AIBR,PVT,EJ,1,110,266
AVKL,PVT,EJ,2,163,266
PVPL,PVT,EJ,1,272,266
RIBL,PVT,EJ,1,121,266
RIBR,PVT,EJ,1,122,266
PVCR,PVWL,EJ,2,291,301
PVCR,PVWR,EJ,1,291,302
AVBL,RIBL,EJ,1,115,121
AVBR,RIBL,EJ,1,116,121
OLQDL,RIBL,EJ,2,36,121
OLQVL,RIBL,EJ,1,44,121
PVT,RIBL,EJ,1,266,121
RIBL,RIBL,EJ,1,121,121
RIBR,RIBL,EJ,3,122,121
RIGL,RIBL,EJ,1,181,121
SIADL,RIBL,EJ,1,130,121
SIAVL,RIBL,EJ,1,151,121
SIBDL,RIBL,EJ,1,105,121
SIBVL,RIBL,EJ,1,107,121
SIBVR,RIBL,EJ,1,131,121
SMBDL,RIBL,EJ,1,132,121
SMDDL,RIBL,EJ,1,108,121
SMDVR,RIBL,EJ,2,81,121
AVBL,RIBR,EJ,1,115,122
AVBR,RIBR,EJ,1,116,122
OLQDR,RIBR,EJ,2,43,122
OLQVR,RIBR,EJ,1,54,122
PVT,RIBR,EJ,1,266,122
RIBL,RIBR,EJ,3,121,122
RIBR,RIBR,EJ,1,122,122
RIGR,RIBR,EJ,1,178,122
SIADR,RIBR,EJ,1,145,122
SIAVR,RIBR,EJ,1,152,122
SIBDR,RIBR,EJ,1,106,122
SIBVR,RIBR,EJ,1,131,122
SMBDR,RIBR,EJ,1,153,122
SMDDL,RIBR,EJ,1,108,122
SMDDR,RIBR,EJ,1,133,122
SMDVL,RIBR,EJ,2,65,122
ASHL,RICL,EJ,2,89,143
AVKL,RICL,EJ,1,163,143
AVKR,RICL,EJ,1,158,143
AWBR,RICL,EJ,1,96,143
ASHR,RICR,EJ,2,90,150
AVKL,RICR,EJ,1,163,150
ALA,RID,EJ,1,58,55
AVBL,RID,EJ,1,115,55
AVBR,RID,EJ,2,116,55
DA09,RID,EJ,1,269,55
DB01,RID,EJ,1,184,55
PDB,RID,EJ,2,271,55
